place_id,zipcode,place_type,place_name,latitude,longitude,website_url,property_address,map_url,phone,opening_hours
ChIJpRH8wD6_9YgRMaIu7_pan30,30043,health,New Hope Primary Care,33.9349079,-83.9564783,http://www.newhopeprimarycare.com/,"930 New Hope Rd #10, Lawrenceville, GA 30045, USA",https://maps.google.com/?cid=9052053809839120945,(770) 868-5160,
ChIJtX_PNNm-9YgRUtXmcUNo0fY,30097,doctor,Clearview Primary Care at Grayson,33.8945101,-83.9571664,http://www.clearviewprimarycare.com/,"2065 Grayson Hwy, Grayson, GA 30017, USA",https://maps.google.com/?cid=17785111042345850194,(678) 376-9309,"Monday: 8:00 AM  5:00 PM, Tuesday: 8:00 AM  5:00 PM, Wednesday: 8:00 AM  5:00 PM, Thursday: 8:00 AM  5:00 PM, Friday: 8:00 AM  5:00 PM, Saturday: Closed, Sunday: Closed"
ChIJhxd9Mdm-9YgRtbGueERGeUg,30017,doctor,Smart Primary Care,33.9334729,-83.9771749,http://thelawrencevilleprimarycare.com/,"696 Grayson Hwy, Lawrenceville, GA 30046, USA",https://maps.google.com/?cid=5222282502809235893,(770) 450-4945,"Monday: 8:00 AM  6:00 PM, Tuesday: 8:00 AM  6:00 PM, Wednesday: 8:00 AM  6:00 PM, Thursday: 8:00 AM  6:00 PM, Friday: 8:00 AM  6:00 PM, Saturday: 8:00 AM  4:00 PM, Sunday: Closed"
ChIJfQfnsBlL9IgRVSYyJo-K4rY,30013,school,Peachtree Academy Primary School,33.625787,-83.9782584,http://www.peachtreeacademy.com/,"1801 Ellington Rd SE, Conyers, GA 30013, USA",https://maps.google.com/?cid=13178247807065269845,(770) 860-8900,
ChIJDzrSXZO-9YgR_TipEpf_iZs,30043,health,Four Corners Primary Care Center,33.9435499,-83.9941477,,"175 Gwinnett Dr #213, Lawrenceville, GA 30046, USA",https://maps.google.com/?cid=11207770172006414589,(770) 299-1066,"Monday: 8:00 AM  6:00 PM, Tuesday: 8:00 AM  6:00 PM, Wednesday: 8:00 AM  6:00 PM, Thursday: 8:00 AM  6:00 PM, Friday: 8:00 AM  6:00 PM, Saturday: Closed, Sunday: Closed"
ChIJg6C8zJK09YgRJzoQupN-gNE,30012,doctor,Georgia Primary and Urgent Care,33.6824738,-83.9958052,http://www.conyersurgentcare.com/,"1301 Sigman Rd NE #230, Conyers, GA 30012, USA",https://maps.google.com/?cid=15096205123892820519,(678) 609-4912,"Monday: 8:00 AM  5:00 PM, Tuesday: 8:00 AM  5:00 PM, Wednesday: 8:00 AM  5:00 PM, Thursday: 8:00 AM  5:00 PM, Friday: 8:00 AM  5:00 PM, Saturday: 8:00 AM  12:00 PM, Sunday: Closed"
ChIJlTm7hWm-9YgRm25miR2pmK8,30043,doctor,"Dr. Riaz A. Syed, MD",33.9787534,-83.997655,http://www.pccofga.com/,"870 Collins Hill Rd, Lawrenceville, GA 30043, USA",https://maps.google.com/?cid=12653049097421745819,(678) 377-0900,
ChIJmza6IgeU9YgRZYzJpup240w,30004,doctor,Sills Primary Care,34.0959539,-83.9997896,http://sillsprimarycare.com/,"4295 Buford Dr NE, Buford, GA 30518, USA",https://maps.google.com/?cid=5540402716788493413,(770) 831-5659,
ChIJybYwevu-9YgRRtRnTBTNj7M,30043,doctor,"Georgia Clinic, PC",33.9193322,-84.0001012,http://www.gaclinicpc.com/,"845 Scenic Hwy N #100, Lawrenceville, GA 30046, USA",https://maps.google.com/?cid=12938785741523637318,(770) 962-6443,"Monday: 9:00 AM  5:00 PM, Tuesday: 9:00 AM  5:00 PM, Wednesday: 9:00 AM  5:00 PM, Thursday: 9:00 AM  5:00 PM, Friday: 9:00 AM  5:00 PM, Saturday: Closed, Sunday: Closed"
ChIJv5bVGHy-9YgRL5xURlN6_rU,30043,pharmacy,Gwinnett Clinic,33.967461,-84.0111454,http://www.gwinnettclinic.com/our-locations/lawrenceville-main-clinic/,"475 Philip Blvd, Lawrenceville, GA 30046, USA",https://maps.google.com/?cid=13114053663030287407,(770) 995-3300,"Monday: 9:00 AM  6:00 PM, Tuesday: 9:00 AM  6:00 PM, Wednesday: 9:00 AM  6:00 PM, Thursday: 9:00 AM  6:00 PM, Friday: 9:00 AM  6:00 PM, Saturday: 10:00 AM  4:00 PM, Sunday: 10:00 AM  2:00 PM"
