"place_id","zipcode","place_type","place_name","latitude","longitude","website_url","property_address","map_url","phone","opening_hours"
"ChIJm1agX7bi9IgRVukRCduO4tg","30320","point_of_interest","Little Flyers Child Development Center","33.6530483","-84.4460574","http://littleflyerscdc.homestead.com/","1701 Columbia Ave, College Park, GA 30337, USA","https://maps.google.com/?cid=15628210728330193238","(404) 305-6950",""
"ChIJCVSUlDDj9IgRYRwS-Oww8jU","30320","school","Fayetteville KinderCare","33.61234100000001","-84.447553","http://www.kindercare.com/our-centers/college-park/ga/300411/?utm_campaign=KC_Local&utm_source=L3M_Local&utm_medium=A&utm_content=300411&_google","5252 W Fayetteville Rd, College Park, GA 30349, USA","https://maps.google.com/?cid=3887223222706510945","(770) 997-2004","Monday: 6:00 AM  7:00 PM, Tuesday: 6:00 AM  7:00 PM, Wednesday: 6:00 AM  7:00 PM, Thursday: 6:00 AM  7:00 PM, Friday: 6:00 AM  7:00 PM, Saturday: Closed, Sunday: Closed"
"ChIJ8U8zh8fi9IgRyJekmxalykI","30320","point_of_interest","Airport Park 'N Bark","33.6497051","-84.45097799999999","http://www.airportparknbark.com/#gmb","3884 College St, College Park, GA 30337, USA","https://maps.google.com/?cid=4812840668317915080","(678) 278-0137","Monday: 6:00 AM  10:00 PM, Tuesday: 6:00 AM  10:00 PM, Wednesday: 6:00 AM  10:00 PM, Thursday: 6:00 AM  10:00 PM, Friday: 6:00 AM  10:00 PM, Saturday: 6:00 AM  10:00 PM, Sunday: 6:00 AM  10:00 PM"
"ChIJ7TPlo5vi9IgRNcl5gfMtjcE","30320","school","Childcare Network","33.66554070000001","-84.46689479999999","http://www.childcarenetwork.com/Georgia-EastPoint-GA-106","3325 Washington Rd, Atlanta, GA 30344, USA","https://maps.google.com/?cid=13946854144908839221","(404) 761-6453","Monday: 6:00 AM  6:30 PM, Tuesday: 6:00 AM  6:30 PM, Wednesday: 6:00 AM  6:30 PM, Thursday: 6:00 AM  6:30 PM, Friday: 6:00 AM  6:30 PM, Saturday: Closed, Sunday: Closed"
"ChIJ4zPiEP_i9IgRIx8LkwAsFUM","30320","health","Fellowship Senior Center","33.6324932","-84.47870229999999","http://www.fellowshipadh.com/","4530 Janice Dr, College Park, GA 30337, USA","https://maps.google.com/?cid=4833818156030697251","(404) 766-6498","Monday: 7:00 AM  4:00 PM, Tuesday: 7:00 AM  4:00 PM, Wednesday: 7:00 AM  4:00 PM, Thursday: 7:00 AM  4:00 PM, Friday: 7:00 AM  4:00 PM, Saturday: Closed, Sunday: Closed"
"ChIJpT_yvYzi9IgRY8sHhz5DbbI","30320","point_of_interest","Pet Paradise","33.6524382","-84.4717687","http://www.petparadiseresort.com/","2525 Camp Creek Pkwy, College Park, GA 30337, USA","https://maps.google.com/?cid=12857006447045102435","(404) 333-0738","Monday: 6:30 AM  7:00 PM, Tuesday: 6:30 AM  7:00 PM, Wednesday: 6:30 AM  7:00 PM, Thursday: 6:30 AM  7:00 PM, Friday: 6:30 AM  7:00 PM, Saturday: 7:00 AM  6:00 PM, Sunday: 7:00 AM  6:00 PM"
"ChIJczr5xrb89IgRlxZKmEo9Rg4","30320","school","Childcare Network","33.6006164","-84.42995549999999","http://www.childcarenetwork.com/Georgia-CollegePark-GA-29","1260 Flat Shoals Rd, College Park, GA 30349, USA","https://maps.google.com/?cid=1028576955492603543","(770) 996-1634","Monday: 6:30 AM  6:30 PM, Tuesday: 6:30 AM  6:30 PM, Wednesday: 6:30 AM  6:30 PM, Thursday: 6:30 AM  6:30 PM, Friday: 6:30 AM  6:30 PM, Saturday: Closed, Sunday: Closed"
"ChIJm7mM64bi9IgRisshO4442lA","30320","point_of_interest","Sunshine House","33.6660716","-84.4765687","https://sunshinehouse.com/","2675 Stone Rd, Atlanta, GA 30344, USA","https://maps.google.com/?cid=5826031251485739914","(770) 413-1750",""
"ChIJ79NfEx129YgRX5S3ImQ8MAQ","30004","school","Kids R Kids Milton","34.1216828","-84.271439","http://www.krkmilton.com/","13950 Hwy 9 N, Alpharetta, GA 30004, USA","https://maps.google.com/?cid=301807575810675807","(770) 518-6868","Monday: 6:30 AM  6:30 PM, Tuesday: 6:30 AM  6:30 PM, Wednesday: 6:30 AM  6:30 PM, Thursday: 6:30 AM  6:30 PM, Friday: 6:30 AM  6:30 PM, Saturday: Closed, Sunday: Closed"
"ChIJ45JNwQud9YgRh8AHdgdR-Eo","30004","point_of_interest","Discovery Point Discovery Drive","34.1557017","-84.2448498","","4015 Discovery Dr, Alpharetta, GA 30004, USA","https://maps.google.com/?cid=5402156845517750407","(770) 664-1773",""
