place_id,zipcode,place_type,place_name,latitude,longitude,website_url,property_address,map_url,phone
ChIJGaCxXfn89IgR8hvoTUCY2ZU,30320,local_government_office,Department of Driver Services,33.6172444,-84.4015289,http://www.dds.ga.gov/locations/dllocations.aspx?csc=59,"5036 GA-85, Forest Park, GA 30297, USA",https://maps.google.com/?cid=10797828983549860850,(404) 669-3961
ChIJ9eoTHncD9YgRUmN5RJQeFVM,30320,local_government_office,Georgia Department of Driver Services,33.7451722,-84.3999439,http://www.dds.ga.gov/,"400 Whitehall Street SW, Atlanta, GA 30303, USA",https://maps.google.com/?cid=5986724901811741522,(404) 463-0303
ChIJNTQoLdgD9YgR_fOiKQIhXX8,30320,local_government_office,Commercial Drivers License,33.7259656,-84.3557922,http://www.dds.ga.gov/commercial/,"959 E Confederate Ave SE, Atlanta, GA 30316, USA",https://maps.google.com/?cid=9177527908823135229,(678) 413-8400
ChIJfyTLgIAA9YgResfXdhzygxE,30320,local_government_office,DDS,33.7087634,-84.2748457,http://www.dds.ga.gov/,"2801 Candler Rd #82, Decatur, GA 30034, USA",https://maps.google.com/?cid=1262118524660729722,(678) 413-8400
ChIJfyTLgIAA9YgRDB3UgkpsmpQ,30320,local_government_office,Georgia Department of Driver Services,33.7087634,-84.2748457,http://www.dds.ga.gov/locations/dllocations.aspx?csc=52,"2801 Candler Rd #82, Decatur, GA 30034, USA",https://maps.google.com/?cid=10707990131305094412,(678) 413-8400
ChIJWXnJjE_w9IgRjSmdriHLElI,30320,local_government_office,State of Georgia Department of Driver Services,33.4576981,-84.4081588,http://www.dds.ga.gov/locations/dllocations.aspx?csc=87,"278 McElroy Rd, Fayetteville, GA 30214, USA",https://maps.google.com/?cid=5914012606214777229,(678) 413-8400
ChIJmxVsUUYW9YgRaKBzlWsusZQ,30320,local_government_office,Georgia Department of Driver Services,33.9138554,-84.5814758,http://www.dds.ga.gov/locations/dllocations.aspx?csc=56,"1605 County Services Pkwy, Marietta, GA 30008, USA",https://maps.google.com/?cid=10714396028094881896,(678) 413-8400
ChIJB4eu-0z59IgR0GUZZlHueXs,30320,local_government_office,Clayton Tax Commissioner,33.5756963,-84.3401259,http://www.claytoncountyga.gov/,"1510 Southlake Pkwy, Morrow, GA 30260, USA",https://maps.google.com/?cid=8897404572219827664,(770) 477-3331
ChIJbfq0hrmx9YgRzvVUmu0a1Ik,30320,local_government_office,Georgia Department of Driver Services,33.7757173,-84.0751805,http://www.dds.ga.gov/,"8040 Rockbridge Rd SW, Lithonia, GA 30058, USA",https://maps.google.com/?cid=9931592686057616846,(770) 484-3850
ChIJ0cItyGIL9YgRwb0SGrsnimk,30320,local_government_office,Georgia Department of Driver Services,33.9915658,-84.3534965,http://www.dds.ga.gov/,"8610 Roswell Rd #710, Atlanta, GA 30350, USA",https://maps.google.com/?cid=7604934605318307265,(678) 413-8400
ChIJa6OQx1eh9YgRuurbWtvqSdo,30320,local_government_office,Georgia Department of Driver Services,33.9358339,-84.1860176,http://www.dds.ga.gov/locations/dllocations.aspx?csc=64,"2211 Beaver Ruin Rd, Norcross, GA 30071, USA",https://maps.google.com/?cid=15729361401411267258,(678) 413-8400
ChIJn0FyHpzI9IgRICL766RWx6E,30320,local_government_office,Georgia Department of Driver Services,33.3902886,-84.7775386,http://www.dds.ga.gov/locations/dllocations.aspx?csc=24,"128 Bullsboro Dr, Newnan, GA 30263, USA",https://maps.google.com/?cid=11657381426805547552,(770) 254-7203
ChIJYdlwTd-09YgRyFRywPM1m1Y,30320,local_government_office,Georgia Department of Driver Services,33.6666764,-83.9755819,http://dds.ga.gov/,"2206 Eastview Pkwy NE, Conyers, GA 30013, USA",https://maps.google.com/?cid=6240641029673997512,(678) 413-8400
ChIJyaX6dLmx9YgRm35P6J6_3h0,30320,point_of_interest,Ga Driver's Services,33.774327,-84.0760726,http://www.dds.ga.gov/drivers/,"8040 Rockbridge Rd, Lithonia, GA 30058, USA",https://maps.google.com/?cid=2152368361152937627,
ChIJxVumBHuF9YgRUuSQ9t4FIOU,30320,local_government_office,Georgia Department of Driver's Services,34.2252441,-84.1088623,http://www.dds.ga.gov/locations/index.aspx,"400 Aquatic Cir, Cumming, GA 30040, USA",https://maps.google.com/?cid=16510202689117807698,(678) 413-8400
ChIJZ7dEwYDF9YgRRrhO8IrVDoY,30320,local_government_office,Georgia Department of Driver Services,33.8215904,-83.8091651,http://www.dds.ga.gov/locations/dllocations.aspx?csc=65,"1010 Heritage Pkwy, Between, GA 30655, USA",https://maps.google.com/?cid=9659893043470186566,(678) 413-8400
ChIJE2wD9YRA9YgR5JIgw9YmXr4,30320,local_government_office,Department of Driver Services,34.0444118,-84.6559063,http://www.dds.ga.gov/locations/dllocations.aspx?csc=86,"3690 Old 41 Hwy NW, Kennesaw, GA 30144, USA",https://maps.google.com/?cid=13717444218855658212,(678) 413-8400
ChIJsU-wDALBiogRRf0W6FoEzFc,30320,local_government_office,Georgia Department of Driver Services,34.0165313,-85.2194383,http://www.dds.ga.gov/locations/dllocations.aspx?csc=29,"1626 Rockmart Hwy, Cedartown, GA 30125, USA",https://maps.google.com/?cid=6326436365036092741,(770) 749-2203
ChIJlcAcvsxP9YgRUrVw3CoJ-Zo,30320,local_government_office,Department of Driver Services,34.2063901,-84.8139974,http://www.dds.ga.gov/locations/dllocations.aspx?csc=3,"1304 Joe Frank Harris Parkway, Cartersville, GA 30121, USA",https://maps.google.com/?cid=11166966830733505874,(770) 387-3704
ChIJzRK1FJlh9IgRdvQMSjQ08XQ,30320,local_government_office,"Georgia Department of Driver Services, Griffin",33.2336471,-84.2348978,http://www.dds.ga.gov/locations/dllocations.aspx?csc=1,"1313 Arthur K Bolton Pkwy, Griffin, GA 30223, USA",https://maps.google.com/?cid=8426573776972215414,(770) 229-3415
ChIJ0cItyGIL9YgRwb0SGrsnimk,30004,local_government_office,Georgia Department of Driver Services,33.9915658,-84.3534965,http://www.dds.ga.gov/,"8610 Roswell Rd #710, Atlanta, GA 30350, USA",https://maps.google.com/?cid=7604934605318307265,(678) 413-8400
ChIJxVumBHuF9YgRUuSQ9t4FIOU,30004,local_government_office,Georgia Department of Driver's Services,34.2252441,-84.1088623,http://www.dds.ga.gov/locations/index.aspx,"400 Aquatic Cir, Cumming, GA 30040, USA",https://maps.google.com/?cid=16510202689117807698,(678) 413-8400
ChIJa6OQx1eh9YgRuurbWtvqSdo,30004,local_government_office,Georgia Department of Driver Services,33.9358339,-84.1860176,http://www.dds.ga.gov/locations/dllocations.aspx?csc=64,"2211 Beaver Ruin Rd, Norcross, GA 30071, USA",https://maps.google.com/?cid=15729361401411267258,(678) 413-8400
ChIJlU8OUk6-9YgRdTtxCzbrG44,30004,local_government_office,DDS,33.973975,-83.9808955,http://www.dds.ga.gov/,"310 Hurricane Shoals Rd NE, Lawrenceville, GA 30046, USA",https://maps.google.com/?cid=10240036795109686133,(678) 413-8400
ChIJmxVsUUYW9YgRaKBzlWsusZQ,30004,local_government_office,Georgia Department of Driver Services,33.9138554,-84.5814758,http://www.dds.ga.gov/locations/dllocations.aspx?csc=56,"1605 County Services Pkwy, Marietta, GA 30008, USA",https://maps.google.com/?cid=10714396028094881896,(678) 413-8400
ChIJE2wD9YRA9YgR5JIgw9YmXr4,30004,local_government_office,Department of Driver Services,34.0444118,-84.6559063,http://www.dds.ga.gov/locations/dllocations.aspx?csc=86,"3690 Old 41 Hwy NW, Kennesaw, GA 30144, USA",https://maps.google.com/?cid=13717444218855658212,(678) 413-8400
ChIJbfq0hrmx9YgRzvVUmu0a1Ik,30004,local_government_office,Georgia Department of Driver Services,33.7757173,-84.0751805,http://www.dds.ga.gov/,"8040 Rockbridge Rd SW, Lithonia, GA 30058, USA",https://maps.google.com/?cid=9931592686057616846,(770) 484-3850
ChIJzR2uQk6-9YgRWiNb_JnKHQs,30004,local_government_office,Lawrenceville DDS,33.9739831,-83.9808889,http://www.dds.ga.gov/locations/dllocations.aspx?csc=54,"310 Hurricane Shoals Rd NE, Lawrenceville, GA 30046, USA",https://maps.google.com/?cid=801019071454454618,(770) 995-6855
ChIJIxjc01eh9YgR86D4kGL3ADg,30004,school,Dds,33.9356838,-84.1864594,,"3007, 2211 Beaver Ruin Rd, Norcross, GA 30071, USA",https://maps.google.com/?cid=4035497268835033331,
